"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04"
"USC00144559","LAWRENCE, KS US","2018-02-27","0.8","0.0","0.0","19.4","6.1","10.0",,,
"USC00144559","LAWRENCE, KS US","2018-02-28","0.0","0.0","0.0","13.9","-0.6","2.8",,,
"USC00144559","LAWRENCE, KS US","2018-03-01","0.0","0.0","0.0","11.7","-1.1","5.6",,,
"USC00144559","LAWRENCE, KS US","2018-03-02","0.0","0.0","0.0","14.4","-0.6","5.6",,,
"USC00144559","LAWRENCE, KS US","2018-03-03","0.0","0.0","0.0","19.4","3.9","8.9",,,
"USC00144559","LAWRENCE, KS US","2018-03-04","0.0","0.0","0.0","17.8","5.6","5.6",,,
"USC00144559","LAWRENCE, KS US","2018-03-05","0.0","0.0","0.0","12.2","2.2","2.2",,,
"USC00144559","LAWRENCE, KS US","2018-03-06","0.0","0.0","0.0","3.3","-4.4","-2.2",,,
"USC00144559","LAWRENCE, KS US","2018-03-07","0.0","0.0","0.0","6.1","-6.7","-3.3",,,
"USC00144559","LAWRENCE, KS US","2018-03-08","0.0","0.0","0.0","7.2","-6.7","3.9",,,
"USC00144559","LAWRENCE, KS US","2018-03-09","0.0","0.0","0.0","16.1","-1.1","7.8",,,
"USC00144559","LAWRENCE, KS US","2018-03-10","0.0","0.0","0.0","13.9","-1.1","2.2",,,
"USC00144559","LAWRENCE, KS US","2018-03-11","0.0","0.0","0.0","5.0","-1.1","-1.1",,,
"USC00144559","LAWRENCE, KS US","2018-03-12","0.0","0.0","0.0","10.6","-2.8","-1.7",,,
"USC00144559","LAWRENCE, KS US","2018-03-13","0.0","0.0","0.0","10.6","-2.8","-0.6",,,
"USC00144559","LAWRENCE, KS US","2018-03-14","0.0","0.0","0.0","17.8","-1.7","9.4",,,
"USC00144559","LAWRENCE, KS US","2018-03-15","2.8","0.0","0.0","23.3","8.3","8.3",,,
"USC00144559","LAWRENCE, KS US","2018-03-16","1.5","0.0","0.0","18.3","2.2","2.2",,,
"USC00144559","LAWRENCE, KS US","2018-03-17","0.0","0.0","0.0","6.7","2.2","3.3",,,
"USC00144559","LAWRENCE, KS US","2018-03-18","15.5","0.0","0.0","11.7","3.3","3.3",,,
"USC00144559","LAWRENCE, KS US","2018-03-19","12.7","0.0","0.0","7.8","2.8","3.9",,,
"USC00144559","LAWRENCE, KS US","2018-03-20","0.0","0.0","0.0","6.7","-1.1","-0.6",,,
"USC00144559","LAWRENCE, KS US","2018-03-21","0.0","0.0","0.0","12.2","-1.1","6.1",,,
"USC00144559","LAWRENCE, KS US","2018-03-22","0.0","0.0","0.0","20.0","5.6","7.2",,,
"USC00144559","LAWRENCE, KS US","2018-03-23","0.0","0.0","0.0","16.7","6.7","7.8",,,
"USC00144559","LAWRENCE, KS US","2018-03-24","0.0","0.0","0.0","8.9","0.6","0.6",,,
"USC00144559","LAWRENCE, KS US","2018-03-25","7.1","0.0","0.0","10.0","0.6","6.7",,"    1",
"USC00144559","LAWRENCE, KS US","2018-03-26","3.3","0.0","0.0","14.4","3.9","3.9","    1",,
"USC00144559","LAWRENCE, KS US","2018-03-27","0.0","0.0","0.0","14.4","3.9","4.4",,,
"USC00144559","LAWRENCE, KS US","2018-03-28","0.0","0.0","0.0","10.0","3.3","4.4",,,
"USC00144559","LAWRENCE, KS US","2018-03-29","0.0","0.0","0.0","6.1","-1.1","1.7",,,
"USC00144559","LAWRENCE, KS US","2018-03-30","0.0","0.0","0.0","13.9","-1.1","12.8",,,
"USC00144559","LAWRENCE, KS US","2018-03-31","0.0","0.0","0.0","15.6","-2.2","-2.2",,,
"USC00144559","LAWRENCE, KS US","2018-04-01","0.5","5.0","0.0","-2.2","-5.0","-5.0",,,
"USC00144559","LAWRENCE, KS US","2018-04-02","4.1","0.0","0.0","2.2","-5.0","1.1",,,
"USC00144559","LAWRENCE, KS US","2018-04-03","0.0","0.0","0.0","4.4","-7.8","-7.2",,,
"USC00144559","LAWRENCE, KS US","2018-04-04","0.8","0.0","0.0","7.2","-7.2","3.9",,,
"USC00144559","LAWRENCE, KS US","2018-04-05","0.0","0.0","0.0","20.0","3.3","3.9",,,
"USC00144559","LAWRENCE, KS US","2018-04-06","0.3","5.0","0.0","6.1","-7.8","-6.1",,,
"USC00144559","LAWRENCE, KS US","2018-04-07","0.0","0.0","0.0","6.1","-7.2","1.1",,,
"USC00144559","LAWRENCE, KS US","2018-04-08","2.8","0.0","0.0","2.2","-1.7","1.1",,,
"USC00144559","LAWRENCE, KS US","2018-04-09","0.0","0.0","0.0","8.3","-1.1","1.7",,,
"USC00144559","LAWRENCE, KS US","2018-04-10","0.0","0.0","0.0","16.7","0.0","10.6",,,
"USC00144559","LAWRENCE, KS US","2018-04-11","0.0","0.0","0.0","26.7","9.4","16.1",,,
